time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-25 00:00:00+00:00,39.0,33.0,1,1
2023-01-26 00:00:00+00:00,1.0,1.0,7,1
2023-01-27 00:00:00+00:00,,,7,1
2023-01-28 00:00:00+00:00,1.0,1.0,11,3
2023-01-29 00:00:00+00:00,101.0,69.0,2,1
2023-01-30 00:00:00+00:00,268.0,134.0,1,1
2023-01-31 00:00:00+00:00,388.0,158.0,3,1
2023-02-01 00:00:00+00:00,411.0,159.0,11,3
2023-02-02 00:00:00+00:00,375.0,140.0,10,1
2023-02-03 00:00:00+00:00,202.0,103.0,3,1
2023-02-04 00:00:00+00:00,204.0,104.0,3,1
2023-02-05 00:00:00+00:00,271.0,133.0,3,1
2023-02-06 00:00:00+00:00,470.0,166.0,3,1
2023-02-07 00:00:00+00:00,440.0,155.0,40,4
