time_iso8601,stars_cumulative
2022-07-04 00:00:00+00:00,1
2022-07-05 00:00:00+00:00,9
2022-07-06 00:00:00+00:00,12
2022-07-09 00:00:00+00:00,13
2022-07-14 00:00:00+00:00,14
2022-07-15 00:00:00+00:00,15
2022-07-24 00:00:00+00:00,16
2022-07-29 00:00:00+00:00,37
2022-07-31 00:00:00+00:00,38
2022-08-12 00:00:00+00:00,39
2022-10-03 00:00:00+00:00,40
2022-10-08 00:00:00+00:00,41
2022-12-09 00:00:00+00:00,42
2023-02-10 00:00:00+00:00,43
2023-03-19 00:00:00+00:00,44
2023-05-14 00:00:00+00:00,45
2023-07-04 00:00:00+00:00,46
2023-10-28 00:00:00+00:00,47
2024-05-30 00:00:00+00:00,48
