time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-22 00:00:00+00:00,32,22,48,6
2022-11-23 00:00:00+00:00,31,23,76,8
2022-11-24 00:00:00+00:00,60,30,11,1
2022-11-25 00:00:00+00:00,61,35,2,2
2022-11-26 00:00:00+00:00,83,43,66,2
2022-11-27 00:00:00+00:00,61,33,23,2
2022-11-28 00:00:00+00:00,32,24,43,4
2022-11-29 00:00:00+00:00,53,28,21,2
2022-11-30 00:00:00+00:00,114,54,247,9
2022-12-01 00:00:00+00:00,49,38,39,3
2022-12-02 00:00:00+00:00,62,34,25,5
2022-12-03 00:00:00+00:00,81,49,82,5
2022-12-04 00:00:00+00:00,23,19,6,1
2022-12-05 00:00:00+00:00,33,23,63,6
2022-12-06 00:00:00+00:00,64,38,20,2
2022-12-07 00:00:00+00:00,67,38,33,5
2022-12-08 00:00:00+00:00,22,17,15,2
2022-12-09 00:00:00+00:00,1,1,20,3
2022-12-10 00:00:00+00:00,46,29,9,1
2022-12-11 00:00:00+00:00,58,31,6,2
2022-12-12 00:00:00+00:00,24,16,8,2
2022-12-13 00:00:00+00:00,0,0,16,3
2022-12-14 00:00:00+00:00,1,1,7,1
2022-12-15 00:00:00+00:00,31,25,6,2
2022-12-16 00:00:00+00:00,59,44,1,1
2022-12-17 00:00:00+00:00,127,81,5,2
2022-12-18 00:00:00+00:00,233,112,4,1
2022-12-19 00:00:00+00:00,238,122,8,1
2022-12-20 00:00:00+00:00,157,98,6,1
2022-12-21 00:00:00+00:00,41,33,5,2
2022-12-22 00:00:00+00:00,2,2,7,2
2022-12-23 00:00:00+00:00,0,0,2,1
2022-12-24 00:00:00+00:00,56,39,1,1
2022-12-25 00:00:00+00:00,59,36,1,1
2022-12-26 00:00:00+00:00,19,16,0,0
2022-12-27 00:00:00+00:00,0,0,1,1
2022-12-28 00:00:00+00:00,1,1,3,1
2022-12-29 00:00:00+00:00,8,3,11,1
2022-12-30 00:00:00+00:00,48,35,15,2
2022-12-31 00:00:00+00:00,104,69,2,1
2023-01-01 00:00:00+00:00,284,123,3,1
2023-01-02 00:00:00+00:00,211,107,5,1
2023-01-03 00:00:00+00:00,258,130,12,1
2023-01-04 00:00:00+00:00,183,103,11,2
2023-01-05 00:00:00+00:00,174,93,5,1
2023-01-06 00:00:00+00:00,210,97,8,2
2023-01-07 00:00:00+00:00,207,105,7,2
2023-01-08 00:00:00+00:00,148,79,3,1
2023-01-09 00:00:00+00:00,87,57,3,1
2023-01-10 00:00:00+00:00,79,55,2,1
2023-01-11 00:00:00+00:00,58,37,3,2
2023-01-12 00:00:00+00:00,22,16,3,1
2023-01-13 00:00:00+00:00,231,123,9,1
2023-01-14 00:00:00+00:00,517,161,2,1
2023-01-15 00:00:00+00:00,289,122,2,1
2023-01-16 00:00:00+00:00,448,155,17,4
2023-01-17 00:00:00+00:00,668,199,6,2
2023-01-18 00:00:00+00:00,372,154,16,3
2023-01-19 00:00:00+00:00,114,84,20,2
2023-01-20 00:00:00+00:00,146,88,4,1
2023-01-21 00:00:00+00:00,177,103,14,2
2023-01-22 00:00:00+00:00,154,88,11,2
2023-01-23 00:00:00+00:00,139,77,3,1
2023-01-24 00:00:00+00:00,119,78,6,2
