time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-07 00:00:00+00:00,1.0,1.0,1.0,1.0
2022-09-08 00:00:00+00:00,,,1.0,1.0
2022-09-09 00:00:00+00:00,102.0,46.0,,
2022-09-10 00:00:00+00:00,120.0,44.0,,
2022-09-11 00:00:00+00:00,34.0,25.0,1.0,1.0
2022-09-12 00:00:00+00:00,,,2.0,1.0
2022-09-14 00:00:00+00:00,,,2.0,1.0
2022-09-15 00:00:00+00:00,237.0,93.0,,
2022-09-16 00:00:00+00:00,166.0,77.0,,
2022-09-17 00:00:00+00:00,34.0,30.0,,
2022-09-19 00:00:00+00:00,,,1.0,1.0
2022-09-20 00:00:00+00:00,27.0,22.0,,
