time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-12 00:00:00+00:00,0,0,1,1
2022-03-13 00:00:00+00:00,0,0,1,1
2022-03-15 00:00:00+00:00,0,0,2,1
2022-03-18 00:00:00+00:00,0,0,2,1
2022-03-20 00:00:00+00:00,0,0,1,1
2022-03-22 00:00:00+00:00,2,1,3,1
2022-03-23 00:00:00+00:00,2,2,297,122
2022-03-24 00:00:00+00:00,0,0,130,46
2022-03-25 00:00:00+00:00,0,0,84,14
2022-03-26 00:00:00+00:00,0,0,12,9
2022-03-27 00:00:00+00:00,2,1,23,12
2022-03-28 00:00:00+00:00,0,0,4,2
2022-03-29 00:00:00+00:00,0,0,3,2
2022-03-30 00:00:00+00:00,1,1,5,4
2022-03-31 00:00:00+00:00,0,0,1,1
2022-04-01 00:00:00+00:00,87,6,7,3
