time_iso8601,forks_cumulative
2021-06-07 00:00:00+00:00,2
2021-08-16 00:00:00+00:00,6
2021-08-17 00:00:00+00:00,9
2021-08-18 00:00:00+00:00,11
2021-08-19 00:00:00+00:00,13
2021-08-20 00:00:00+00:00,14
2021-08-21 00:00:00+00:00,15
2021-08-22 00:00:00+00:00,16
2021-08-23 00:00:00+00:00,18
2021-08-24 00:00:00+00:00,19
2021-08-25 00:00:00+00:00,21
2021-08-26 00:00:00+00:00,22
2021-08-31 00:00:00+00:00,23
2021-09-10 00:00:00+00:00,25
2021-09-22 00:00:00+00:00,26
2021-10-12 00:00:00+00:00,27
2021-10-15 00:00:00+00:00,28
2021-11-02 00:00:00+00:00,29
2022-01-07 00:00:00+00:00,30
2022-03-02 00:00:00+00:00,31
2022-03-03 00:00:00+00:00,32
2022-03-04 00:00:00+00:00,34
2022-03-12 00:00:00+00:00,35
2022-03-18 00:00:00+00:00,36
2022-04-14 00:00:00+00:00,37
2022-04-26 00:00:00+00:00,38
2022-05-05 00:00:00+00:00,39
2022-05-19 00:00:00+00:00,40
2022-06-07 00:00:00+00:00,41
2022-06-13 00:00:00+00:00,43
