time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-08 00:00:00+00:00,51,35,14,5
2025-03-09 00:00:00+00:00,113,45,24,2
2025-03-10 00:00:00+00:00,24,20,4,2
2025-03-11 00:00:00+00:00,8,7,9,5
2025-03-12 00:00:00+00:00,35,32,12,4
2025-03-13 00:00:00+00:00,164,35,21,5
2025-03-14 00:00:00+00:00,11,10,3,2
2025-03-15 00:00:00+00:00,62,26,20,9
2025-03-16 00:00:00+00:00,82,26,9,5
2025-03-17 00:00:00+00:00,161,22,15,3
2025-03-18 00:00:00+00:00,13,12,4,3
2025-03-19 00:00:00+00:00,5,4,17,4
2025-03-20 00:00:00+00:00,14,13,6,5
2025-03-21 00:00:00+00:00,128,29,13,7
