time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-09 00:00:00+00:00,72,7,113,23
2022-03-10 00:00:00+00:00,91,11,188,42
2022-03-11 00:00:00+00:00,35,7,50,23
2022-03-12 00:00:00+00:00,79,48,47,20
2022-03-13 00:00:00+00:00,120,61,65,19
2022-03-14 00:00:00+00:00,153,70,83,17
2022-03-15 00:00:00+00:00,76,30,96,20
2022-03-16 00:00:00+00:00,44,11,68,10
2022-03-17 00:00:00+00:00,47,14,85,13
2022-03-18 00:00:00+00:00,75,10,106,19
2022-03-19 00:00:00+00:00,2,1,35,9
2022-03-20 00:00:00+00:00,2,2,43,17
2022-03-21 00:00:00+00:00,56,9,84,17
2022-03-22 00:00:00+00:00,47,13,51,11
2022-03-23 00:00:00+00:00,2,1,78,7
