time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-17 00:00:00+00:00,177,73,3.0,3.0
2022-12-18 00:00:00+00:00,58,39,17.0,2.0
2022-12-19 00:00:00+00:00,98,65,17.0,3.0
2022-12-20 00:00:00+00:00,195,95,2.0,2.0
2022-12-21 00:00:00+00:00,142,90,,
2022-12-22 00:00:00+00:00,94,65,,
2022-12-23 00:00:00+00:00,127,69,2.0,2.0
2022-12-24 00:00:00+00:00,108,65,1.0,1.0
2022-12-25 00:00:00+00:00,126,69,6.0,3.0
2022-12-26 00:00:00+00:00,127,68,1.0,1.0
2022-12-27 00:00:00+00:00,83,58,5.0,3.0
2022-12-28 00:00:00+00:00,20,17,1.0,1.0
2022-12-29 00:00:00+00:00,4,2,6.0,3.0
2022-12-30 00:00:00+00:00,1,1,3.0,2.0
