time_iso8601,stars_cumulative
2021-09-07 00:00:00+00:00,1
2021-09-24 00:00:00+00:00,6
2021-09-25 00:00:00+00:00,7
2021-10-19 00:00:00+00:00,8
2021-10-20 00:00:00+00:00,12
2021-10-21 00:00:00+00:00,15
2021-10-22 00:00:00+00:00,18
2021-10-29 00:00:00+00:00,29
2021-10-30 00:00:00+00:00,30
2021-10-31 00:00:00+00:00,32
2021-11-01 00:00:00+00:00,34
2021-11-05 00:00:00+00:00,35
2021-12-09 00:00:00+00:00,36
2021-12-10 00:00:00+00:00,37
2021-12-17 00:00:00+00:00,38
2022-01-11 00:00:00+00:00,39
2022-01-12 00:00:00+00:00,40
2022-01-19 00:00:00+00:00,41
2022-02-25 00:00:00+00:00,42
2022-03-02 00:00:00+00:00,43
2022-03-04 00:00:00+00:00,44
2022-03-05 00:00:00+00:00,45
2022-03-09 00:00:00+00:00,46
2022-03-23 00:00:00+00:00,47
2022-03-24 00:00:00+00:00,48
2022-05-27 00:00:00+00:00,49
2022-06-02 00:00:00+00:00,50
2022-06-08 00:00:00+00:00,51
2022-09-27 00:00:00+00:00,53
2022-12-18 00:00:00+00:00,54
2023-01-13 00:00:00+00:00,55
2023-03-08 00:00:00+00:00,56
2023-04-29 00:00:00+00:00,57
2023-05-22 00:00:00+00:00,58
2023-05-24 00:00:00+00:00,59
2023-06-18 00:00:00+00:00,60
2023-06-24 00:00:00+00:00,61
2023-06-30 00:00:00+00:00,62
2023-07-22 00:00:00+00:00,63
2023-07-30 00:00:00+00:00,64
2023-08-09 00:00:00+00:00,65
2023-08-10 00:00:00+00:00,66
2023-11-04 00:00:00+00:00,67
2024-01-17 00:00:00+00:00,68
2024-02-12 00:00:00+00:00,69
2024-03-29 00:00:00+00:00,72
2024-04-12 00:00:00+00:00,73
2024-04-22 00:00:00+00:00,74
2024-05-16 00:00:00+00:00,75
2024-05-20 00:00:00+00:00,76
2024-10-21 00:00:00+00:00,77
2025-04-23 00:00:00+00:00,78
2025-06-05 00:00:00+00:00,79
2025-11-23 00:00:00+00:00,80
