time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-09 00:00:00+00:00,5,5,14,1
2022-03-10 00:00:00+00:00,3,2,13,3
2022-03-11 00:00:00+00:00,2,2,0,0
2022-03-14 00:00:00+00:00,0,0,2,1
2022-03-16 00:00:00+00:00,0,0,3,1
2022-03-17 00:00:00+00:00,32,4,15,2
2022-03-18 00:00:00+00:00,2,1,1,1
2022-03-22 00:00:00+00:00,0,0,4,2
2022-03-23 00:00:00+00:00,0,0,6,1
2022-03-27 00:00:00+00:00,0,0,2,1
2022-03-29 00:00:00+00:00,0,0,2,1
2022-03-30 00:00:00+00:00,0,0,15,2
2022-04-01 00:00:00+00:00,0,0,4,1
2022-04-02 00:00:00+00:00,0,0,45,10
2022-04-03 00:00:00+00:00,0,0,4,1
2022-04-05 00:00:00+00:00,0,0,2,1
2022-04-07 00:00:00+00:00,0,0,2,1
2022-04-08 00:00:00+00:00,0,0,1,1
2022-04-11 00:00:00+00:00,1,1,1,1
2022-04-14 00:00:00+00:00,0,0,1,1
2022-04-18 00:00:00+00:00,0,0,8,1
2022-04-19 00:00:00+00:00,0,0,31,2
2022-04-22 00:00:00+00:00,1,1,1,1
2022-04-24 00:00:00+00:00,0,0,1,1
2022-04-28 00:00:00+00:00,0,0,1,1
2022-04-29 00:00:00+00:00,1,1,0,0
2022-05-08 00:00:00+00:00,0,0,7,1
2022-05-10 00:00:00+00:00,0,0,4,1
2022-05-11 00:00:00+00:00,0,0,4,1
2022-05-12 00:00:00+00:00,1,1,1,1
2022-05-16 00:00:00+00:00,0,0,2,1
2022-05-19 00:00:00+00:00,0,0,1,1
2022-05-20 00:00:00+00:00,0,0,2,1
2022-05-21 00:00:00+00:00,1,1,0,0
2022-05-23 00:00:00+00:00,0,0,1,1
2022-05-27 00:00:00+00:00,2,1,3,1
2022-05-30 00:00:00+00:00,0,0,1,1
2022-06-01 00:00:00+00:00,0,0,1,1
2022-06-11 00:00:00+00:00,1,1,0,0
2022-06-12 00:00:00+00:00,0,0,2,1
2022-06-18 00:00:00+00:00,0,0,1,1
2022-06-23 00:00:00+00:00,0,0,24,2
2022-06-24 00:00:00+00:00,0,0,2,1
2022-06-27 00:00:00+00:00,0,0,3,1
2022-07-02 00:00:00+00:00,0,0,1,1
2022-07-05 00:00:00+00:00,0,0,1,1
2022-07-10 00:00:00+00:00,1,1,1,1
2022-07-12 00:00:00+00:00,1,1,1,1
2022-07-15 00:00:00+00:00,2,1,0,0
2022-07-17 00:00:00+00:00,0,0,1,1
2022-07-18 00:00:00+00:00,0,0,2,1
2022-08-01 00:00:00+00:00,1,1,0,0
2022-08-03 00:00:00+00:00,1,1,0,0
2022-08-05 00:00:00+00:00,1,1,0,0
2022-08-23 00:00:00+00:00,2,1,0,0
2022-08-30 00:00:00+00:00,0,0,3,1
2022-09-20 00:00:00+00:00,1,1,0,0
2022-09-25 00:00:00+00:00,1,1,0,0
2022-09-26 00:00:00+00:00,3,3,1,1
2022-10-13 00:00:00+00:00,0,0,12,1
2022-10-17 00:00:00+00:00,0,0,5,1
2022-10-19 00:00:00+00:00,0,0,5,1
2022-10-21 00:00:00+00:00,1,1,0,0
2022-11-08 00:00:00+00:00,4,3,8,1
2022-11-09 00:00:00+00:00,3,3,0,0
2022-11-14 00:00:00+00:00,1,1,0,0
2022-11-16 00:00:00+00:00,1,1,0,0
2022-11-25 00:00:00+00:00,0,0,1,1
2022-11-30 00:00:00+00:00,1,1,0,0
2022-12-06 00:00:00+00:00,25,20,1,1
