time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-06 00:00:00+00:00,13,5,122.0,2.0
2024-07-07 00:00:00+00:00,6,3,42.0,3.0
2024-07-08 00:00:00+00:00,40,11,149.0,4.0
2024-07-09 00:00:00+00:00,3,1,17.0,1.0
2024-07-10 00:00:00+00:00,10,5,13.0,1.0
2024-07-11 00:00:00+00:00,8,5,14.0,1.0
2024-07-12 00:00:00+00:00,2,1,5.0,1.0
2024-07-13 00:00:00+00:00,2,1,1.0,1.0
2024-07-15 00:00:00+00:00,8,5,2.0,2.0
2024-07-16 00:00:00+00:00,3,2,1.0,1.0
2024-07-17 00:00:00+00:00,3,2,2.0,1.0
2024-07-18 00:00:00+00:00,1,1,3.0,1.0
2024-07-19 00:00:00+00:00,1,1,,
