time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-27 00:00:00+00:00,1,1,4,1
2024-06-28 00:00:00+00:00,68,19,391,11
2024-06-29 00:00:00+00:00,8,5,48,4
2024-06-30 00:00:00+00:00,0,0,3,1
2024-07-01 00:00:00+00:00,7,6,46,2
2024-07-02 00:00:00+00:00,9,6,25,2
2024-07-03 00:00:00+00:00,14,6,49,2
2024-07-04 00:00:00+00:00,1,1,2,2
2024-07-05 00:00:00+00:00,3,1,18,2
2024-07-06 00:00:00+00:00,13,5,122,2
2024-07-07 00:00:00+00:00,6,3,42,3
2024-07-08 00:00:00+00:00,40,11,149,4
2024-07-09 00:00:00+00:00,3,1,17,1
2024-07-10 00:00:00+00:00,10,5,13,1
2024-07-11 00:00:00+00:00,8,5,14,1
2024-07-12 00:00:00+00:00,2,1,5,1
2024-07-13 00:00:00+00:00,2,1,1,1
2024-07-15 00:00:00+00:00,8,5,2,2
2024-07-16 00:00:00+00:00,3,2,1,1
2024-07-17 00:00:00+00:00,3,2,2,1
2024-07-18 00:00:00+00:00,1,1,3,1
2024-07-19 00:00:00+00:00,3,1,0,0
2024-07-22 00:00:00+00:00,1,1,0,0
2024-07-23 00:00:00+00:00,10,4,3,1
2024-07-24 00:00:00+00:00,2,2,1,1
2024-07-25 00:00:00+00:00,3,1,0,0
2024-07-26 00:00:00+00:00,2,1,3,1
2024-07-27 00:00:00+00:00,1,1,1,1
2024-07-28 00:00:00+00:00,0,0,2,1
2024-07-29 00:00:00+00:00,4,2,0,0
2024-07-30 00:00:00+00:00,2,1,7,1
2024-07-31 00:00:00+00:00,4,2,14,2
2024-08-01 00:00:00+00:00,5,3,43,3
2024-08-02 00:00:00+00:00,4,3,3,1
2024-08-03 00:00:00+00:00,0,0,1,1
2024-08-04 00:00:00+00:00,0,0,9,1
2024-08-05 00:00:00+00:00,3,2,0,0
2024-08-06 00:00:00+00:00,1,1,1,1
2024-08-07 00:00:00+00:00,3,1,0,0
2024-08-08 00:00:00+00:00,2,1,3,1
2024-08-09 00:00:00+00:00,2,1,2,2
2024-08-10 00:00:00+00:00,0,0,1,1
2024-08-12 00:00:00+00:00,2,1,0,0
2024-08-13 00:00:00+00:00,2,1,0,0
2024-08-14 00:00:00+00:00,4,2,0,0
2024-08-15 00:00:00+00:00,2,1,0,0
2024-08-16 00:00:00+00:00,6,4,4,1
2024-08-17 00:00:00+00:00,1,1,2,1
2024-08-18 00:00:00+00:00,2,2,11,1
